Lat,Long,Name,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
33.0,65.0,Afghanistan,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,20,21,21,21,23,23,38,38,72,80,88,104,104,114,164,165
41.1533,20.1683,Albania,0,0,0,0,0,0,0,0,2,10,11,22,32,37,41,50,54,57,62,68,72,85,98,108,124,151,147,156,169,168,176
28.0339,1.6596,Algeria,1,3,5,12,12,17,17,19,20,20,20,15,16,22,32,38,44,55,46,47,92,119,148,221,216,313,354,394,449,512,626
42.5063,1.5218,Andorra,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,38,38,52,74,87,111,131,162,186,220,263,304,327,352,354
-11.2027,17.8739,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,5,5,4
18.2206,-63.0686,"Anguilla, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
31.8257,117.2264,"Anhui, China",111,67,48,28,14,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0608,-61.7964,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7
-38.4161,-63.6167,Argentina,0,0,1,1,1,2,8,11,11,16,18,18,29,31,42,53,63,74,91,122,151,259,294,329,327,430,504,600,654,569,787
40.0691,45.0382,Armenia,1,1,1,1,1,1,1,1,1,1,1,4,8,18,26,52,77,83,114,135,159,192,233,235,249,271,300,376,391,449,499
12.5186,-70.0358,"Aruba, Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,5,5,9,9,11,16,27,32,45,49,49,54
-35.4735,149.0124,"Australian Capital Territory, Australia",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,9,19,32,39,39,52,61,69,75,75,76
47.5162,14.5501,Austria,14,18,21,29,41,55,79,104,129,178,242,297,497,648,853,1009,1328,1633,1998,2373,2797,3557,4444,5246,5549,6748,7374,7978,8223,8874,8957
40.1431,47.5769,Azerbaijan,3,3,3,3,6,6,9,9,9,11,8,8,11,11,16,21,21,21,37,37,41,54,61,76,81,104,147,163,190,243,267
25.0343,-77.3963,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,4,4,8,9,9,10,13,13
26.0275,50.55,Bahrain,47,49,49,52,55,56,81,81,81,88,160,160,151,166,154,136,146,167,177,184,179,183,226,212,238,250,235,207,223,232,268
23.685,90.3563,Bangladesh,0,0,0,0,0,0,0,3,3,3,3,3,3,3,5,6,7,10,13,16,20,22,27,30,27,28,32,28,28,25,21
13.1939,-59.5432,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,6,14,17,18,18,18,24,26,33,33,34
40.1824,116.4142,"Beijing, China",129,124,118,113,113,115,115,112,105,101,101,93,86,80,81,84,79,83,92,93,100,114,129,149,150,152,153,155,157,154,154
53.7098,27.9534,Belarus,1,1,1,6,6,6,6,6,5,6,6,9,24,24,24,33,33,46,46,64,61,61,66,59,57,57,62,62,62,120,104
50.8333,4.0,Belgium,1,7,12,22,49,108,168,199,238,266,310,310,555,684,881,1052,1232,1441,1743,2219,2485,3063,3392,3686,4212,5340,6137,7718,9046,9859,10374
13.1939,-59.5432,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3
9.3077,2.3158,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,5,6,6,6,6,6,6,6,8
32.3078,-64.7505,"Bermuda, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,6,7,13,15,15,20,25,22
27.5142,90.4336,Bhutan,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4
-16.2902,-63.5887,Bolivia,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,15,19,24,27,29,32,43,61,74,80,93,101
12.1784,-68.2385,"Bonaire, Sint Eustatius and Saba, Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.9159,17.6791,Bosnia and Herzegovina,0,0,0,0,2,2,3,3,3,5,7,11,13,18,24,25,24,36,61,87,90,123,133,161,171,186,228,248,309,341,390
-22.3285,24.6849,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
-14.235,-51.9253,Brazil,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,199,318,367,613,780,1004,1519,1888,2199,2493,2902,3319,3787,4114,4300,5389
18.4207,-64.64,"British Virgin Islands, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
4.5353,114.7277,Brunei,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50,54,56,68,75,77,81,86,89,102,107,109,104,94,91,88,83
42.7339,25.4858,Bulgaria,0,0,0,0,0,0,0,4,4,4,6,6,22,39,49,50,65,90,91,124,157,181,195,212,235,253,281,313,324,334,374
12.2383,-1.5616,Burkina Faso,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,19,32,39,57,66,90,103,132,135,159,175,187,203,215
21.9162,95.956,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,14,14
-3.3731,29.9189,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16.5388,-23.0418,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,4,4,5,5,5
11.55,104.9167,Cambodia,0,0,0,0,0,0,0,1,1,1,2,2,4,6,6,6,32,34,36,50,52,83,86,87,86,86,88,86,82,86,86
3.848,11.5021,Cameroon,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,4,10,10,13,20,27,40,56,66,72,72,87,87,128,128,182
19.3133,-81.2546,"Cayman Islands, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,2,4,5,7,7,7,7,7,11,13
6.6111,20.9394,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3
15.4542,18.7322,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7
49.3723,-2.3644,"Channel Islands, United Kingdom",0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,6,6,6,11,14,32,32,36,36,46,65,87,96,106,139,138
-35.6751,-71.543,Chile,0,0,1,1,4,4,4,8,8,13,23,23,43,61,74,155,201,238,238,428,531,623,736,903,1117,1280,1562,1842,2057,2285,2570
30.0572,107.874,"Chongqing, China",120,101,80,68,58,57,44,43,28,23,16,6,4,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3
4.5709,-74.2973,Colombia,0,0,0,0,0,1,1,1,1,3,9,9,13,22,34,54,64,92,101,127,195,226,271,369,458,477,523,592,682,771,859
-11.6455,43.3333,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.0383,21.7587,Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,4,19,19,19
-4.0383,21.7587,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,14,18,22,29,35,43,46,48,46,57,57,71,88
9.7489,-83.7534,Costa Rica,0,0,0,0,0,1,1,5,9,9,13,22,23,26,27,35,41,50,68,88,113,130,154,173,197,227,258,290,309,324,341
7.54,-5.5471,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,8,8,13,13,24,71,77,93,98,98,160,161,171
45.1,15.2,Croatia,7,7,9,10,10,11,12,12,12,14,19,19,31,37,48,55,61,77,99,122,200,248,309,376,419,470,546,607,655,717,794
22.0,-80.0,Cuba,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,6,10,15,20,34,39,46,55,64,74,112,132,162,172
12.1696,-68.99,"Curacao, Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,2,2,2,3,5,5,3,5,5,5,8,8
35.1264,33.4299,Cyprus,0,0,0,0,0,0,0,0,2,3,6,6,14,26,26,33,46,49,67,67,84,91,112,118,126,139,142,159,194,201,231
49.8175,15.473,Czechia,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,295,393,461,691,829,989,1113,1229,1381,1638,1906,2259,2609,2790,2953,3232
56.2639,9.5018,Denmark,4,4,6,10,10,22,22,34,89,261,441,614,800,825,861,910,972,1052,1144,1245,1312,1381,1425,1558,1689,1835,1993,2135,2322,2499,2769
0.0,0.0,Diamond Princess,689,689,690,690,690,660,660,660,660,660,374,374,374,374,374,374,374,380,380,380,379,379,379,377,115,105,105,105,99,99,99
11.8251,42.5903,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,11,11,12,14,18,18,30
15.415,-61.371,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,11,11,11,11,11,12
18.7357,-70.1627,Dominican Republic,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,11,20,20,32,70,110,199,242,303,379,475,558,688,817,855,1053
-1.8312,-78.1834,Ecuador,6,6,7,10,13,13,13,14,15,15,17,17,17,26,26,35,56,109,196,362,496,772,960,1052,1142,1366,1556,1772,1863,1899,2111
26.0,30.0,Egypt,1,1,1,1,2,14,14,47,53,57,32,39,51,80,87,121,160,158,218,238,243,257,291,302,340,369,390,419,437,465,507
13.7942,-88.8965,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,9,13,13,19,24,30,31
1.5,10.0,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,6,6,6,9,9,9,12,12,12,12,12,11
15.1794,39.7823,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,6,12,12,15
58.5953,25.0136,Estonia,1,1,2,2,3,10,10,10,10,12,16,16,79,115,170,204,224,257,266,282,305,324,350,362,395,529,563,624,656,692,715
-26.5225,31.4659,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,6,9,9,9,9,9
9.145,40.4897,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,9,9,7,7,12,12,12,16,15,20,19,24
-51.7963,-59.5236,"Falkland Islands (Malvinas), United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.8926,-6.9118,"Faroe Islands, Denmark",0,0,0,1,1,1,1,2,2,2,2,2,3,9,11,18,47,58,72,80,92,115,118,89,94,93,90,101,89,98,95
-17.7134,178.065,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,5,5,5,5,5,5
64.0,26.0,Finland,5,5,5,5,11,14,14,22,29,39,58,58,154,224,234,267,311,326,390,440,512,615,689,781,867,943,1024,1148,1219,1329,1391
46.2276,2.2137,France,116,176,188,269,359,632,926,1095,1178,1739,2221,2221,3570,4366,4396,6473,7492,8883,10616,12150,13708,13144,16796,17961,20002,22511,25269,29561,30366,33599,39161
3.9339,-53.1258,"French Guiana, France",0,0,0,0,0,0,5,5,5,5,5,5,5,5,7,11,11,11,11,15,18,12,14,17,22,22,22,22,22,37,37
-17.6797,149.4068,"French Polynesia, France",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,6,11,15,18,18,25,25,30,30,30,30,36,36
26.0789,117.9874,"Fujian, China",48,40,35,25,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,17,22,26,32,35,41,42,44,47
-0.8037,11.6094,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,5,5,6,6,6,6,6,15
13.4432,-15.3101,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3
37.8099,101.0583,"Gansu, China",5,4,3,2,13,30,31,35,34,35,37,37,37,38,40,40,40,40,41,34,19,20,20,15,15,13,11,9,11,11,11
42.3154,43.3569,Georgia,3,3,3,3,4,4,4,13,15,15,24,24,25,30,33,32,33,37,39,42,48,51,58,61,65,68,69,76,73,83,89
51.0,9.0,Germany,114,143,180,246,466,653,781,1022,1156,1437,1880,2050,3622,4530,5738,7188,9166,12194,15163,19601,21896,24513,28667,29586,33570,37998,43871,48781,52351,52740,54933
7.9465,-1.0232,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,11,16,18,22,25,51,89,127,131,134,145,145,125
36.1408,-5.3536,"Gibraltar, United Kingdom",0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,6,8,8,8,13,13,10,21,22,41,42,51,35,35
39.0742,21.8243,Greece,7,7,7,9,31,45,46,73,73,89,98,98,189,217,319,319,374,405,404,470,498,590,659,694,763,830,886,977,1066,1117,1213
71.7069,-42.6043,"Greenland, Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,4,3,4,4,8,8,8,8,8
12.1165,-61.679,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,7,9,9,9
16.25,-61.5833,"Guadeloupe, France",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,18,27,33,45,53,57,61,61,72,72,72,83,85,85,88
23.3417,113.4244,"Guangdong, China",326,284,242,210,163,129,108,89,84,71,66,59,52,49,48,47,49,49,52,64,67,76,75,87,89,104,111,118,118,125,130
23.8298,108.7881,"Guangxi, China",69,58,48,40,36,33,32,27,20,16,12,9,7,7,7,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2
15.7835,-90.2308,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,8,11,16,18,19,20,19,20,23,23,23,25,25
9.9456,-9.6966,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,8,8,16,22,22
11.8037,-15.1804,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,8
26.8154,106.8748,"Guizhou, China",32,30,30,30,30,30,29,27,21,15,11,7,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,-58.75,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,6,6,18,19,4,4,4,4,7,7,7,10
19.1959,109.7453,"Hainan, China",14,12,8,5,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
18.9712,-72.2852,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,8,8,8,8,14,14,14
39.549,116.1306,"Hebei, China",18,16,12,11,8,7,5,5,5,5,5,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,5
47.862,127.7615,"Heilongjiang, China",125,111,101,94,89,72,65,56,38,34,33,28,23,22,16,14,13,10,10,8,8,5,6,3,3,2,2,2,2,2,2
33.882,113.614,"Henan, China",52,45,19,16,11,6,6,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,3,3,3
41.9029,12.4534,Holy See,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,6,6,6
15.2,-86.2419,Honduras,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,6,8,9,12,24,24,26,30,30,36,51,67,91,104,129,131
22.3,114.2,"Hong Kong, China",58,62,61,66,60,59,55,53,53,52,58,59,53,58,60,67,70,85,109,154,171,213,252,281,304,339,405,445,525,555,582
